p,number_of_series,b_step,w_step,span,presentable,comment,process
0.7,2000000,1,3,3,,,[69.9811 ％（+19.9811） 1黒 1白 1目 1～1局] [61.5493 ％（+11.5493） 1黒 1白 2目 2～3局] [55.2829 ％（+5.2829） 1黒 2白 2目 1～2局] [54.3497 ％（+4.3497） 1黒 2白 3目 2～4局] [48.1181 ％（-1.8819） 1黒 3白 3目 1～3局]
0.71,2000000,1,3,3,,,[71.0524 ％（+21.0524） 1黒 1白 1目 1～1局] [62.3846 ％（+12.3846） 1黒 1白 2目 2～3局] [56.3777 ％（+6.3777） 1黒 2白 2目 1～2局] [54.9843 ％（+4.9843） 1黒 2白 3目 2～4局] [49.0399 ％（-0.9601） 1黒 3白 3目 1～3局]
0.72,2000000,1,3,3,,,[71.9365 ％（+21.9365） 1黒 1白 1目 1～1局] [63.1404 ％（+13.1404） 1黒 1白 2目 2～3局] [57.4321 ％（+7.4321） 1黒 2白 2目 1～2局] [55.6029 ％（+5.6029） 1黒 2白 3目 2～4局] [49.9865 ％（-0.0135） 1黒 3白 3目 1～3局]
0.73,2000000,1,3,3,,,[73.0082 ％（+23.0082） 1黒 1白 1目 1～1局] [63.9807 ％（+13.9807） 1黒 1白 2目 2～3局] [58.6279 ％（+8.6279） 1黒 2白 2目 1～2局] [56.2563 ％（+6.2563） 1黒 2白 3目 2～4局] [50.9486 ％（+0.9486） 1黒 3白 3目 1～3局] [49.9750 ％（-0.0250） 1黒 4白 5目 2～6局]
0.74,2000000,1,3,3,,,[73.9505 ％（+23.9505） 1黒 1白 1目 1～1局] [64.7026 ％（+14.7026） 1黒 1白 2目 2～3局] [59.8066 ％（+9.8066） 1黒 2白 2目 1～2局] [56.9519 ％（+6.9519） 1黒 2白 3目 2～4局] [51.9608 ％（+1.9608） 1黒 3白 3目 1～3局] [50.3710 ％（+0.3710） 1黒 4白 5目 2～6局] [53.3783 ％（+3.3783） 1黒 3白 7目 3～9局] [53.3005 ％（+3.3005） 1黒 4白 7目 3～8局] [48.4183 ％（-1.5817） 1黒 6白 7目 2～8局]
0.75,2000000,1,4,4,,,[74.9712 ％（+24.9712） 1黒 1白 1目 1～1局] [65.6223 ％（+15.6223） 1黒 1白 2目 2～3局] [60.9327 ％（+10.9327） 1黒 2白 2目 1～2局] [57.7079 ％（+7.7079） 1黒 2白 3目 2～4局] [53.0302 ％（+3.0302） 1黒 3白 3目 1～3局] [48.5683 ％（-1.4317） 1黒 4白 4目 1～4局]
0.76,2000000,1,4,4,,,[75.9411 ％（+25.9411） 1黒 1白 1目 1～1局] [66.5033 ％（+16.5033） 1黒 1白 2目 2～3局] [62.1112 ％（+12.1112） 1黒 2白 2目 1～2局] [58.4960 ％（+8.4960） 1黒 2白 3目 2～4局] [54.0852 ％（+4.0852） 1黒 3白 3目 1～3局] [53.8534 ％（+3.8534） 1黒 3白 4目 2～5局] [49.5121 ％（-0.4879） 1黒 4白 4目 1～4局]
0.77,2000000,1,4,4,,,[77.0185 ％（+27.0185） 1黒 1白 1目 1～1局] [67.4501 ％（+17.4501） 1黒 1白 2目 2～3局] [63.3035 ％（+13.3035） 1黒 2白 2目 1～2局] [63.0243 ％（+13.0243） 1黒 1白 3目 3～5局] [59.3556 ％（+9.3556） 1黒 2白 3目 2～4局] [55.3512 ％（+5.3512） 1黒 3白 3目 1～3局] [54.5404 ％（+4.5404） 1黒 3白 4目 2～5局] [50.4441 ％（+0.4441） 1黒 4白 4目 1～4局] [50.0336 ％（+0.0336） 1黒 5白 6目 2～7局] [44.9560 ％（-5.0440） 1黒 7白 7目 1～7局]
0.78,2000000,1,4,4,,,[78.0041 ％（+28.0041） 1黒 1白 1目 1～1局] [68.3809 ％（+18.3809） 1黒 1白 2目 2～3局] [64.6232 ％（+14.6232） 1黒 2白 2目 1～2局] [63.7425 ％（+13.7425） 1黒 1白 3目 3～5局] [60.2843 ％（+10.2843） 1黒 2白 3目 2～4局] [56.4334 ％（+6.4334） 1黒 3白 3目 1～3局] [55.2639 ％（+5.2639） 1黒 3白 4目 2～5局] [51.5393 ％（+1.5393） 1黒 4白 4目 1～4局] [48.4733 ％（-1.5267） 1黒 5白 5目 1～5局]
0.79,2000000,1,5,5,,,[79.0034 ％（+29.0034） 1黒 1白 1目 1～1局] [69.4136 ％（+19.4136） 1黒 1白 2目 2～3局] [65.8652 ％（+15.8652） 1黒 2白 2目 1～2局] [64.5663 ％（+14.5663） 1黒 1白 3目 3～5局] [61.2285 ％（+11.2285） 1黒 2白 3目 2～4局] [57.8046 ％（+7.8046） 1黒 3白 3目 1～3局] [56.0791 ％（+6.0791） 1黒 3白 4目 2～5局] [52.6426 ％（+2.6426） 1黒 4白 4目 1～4局] [49.3940 ％（-0.6060） 1黒 5白 5目 1～5局]
