p,failure_rate,best_p,best_p_error,best_number_of_series,best_p_step,best_q_step,best_span,latest_p,latest_p_error,latest_number_of_series,latest_p_step,latest_q_step,latest_span,process
0.75,0.0,0.5698905,0.06989049999999997,2000000.0,1.0,1.0,2.0,0.5698905,0.06989049999999997,2000000.0,1.0,1.0,2.0, [0.174837 1表 1裏 1目 1～1局] [0.069890 1表 1裏 2目 2～3局]
0.76,0.0,0.577592,0.077592,2000000.0,1.0,1.0,2.0,0.577592,0.077592,2000000.0,1.0,1.0,2.0, [0.184173 1表 1裏 1目 1～1局] [0.077592 1表 1裏 2目 2～3局]
0.77,0.0,0.692599,0.1925989999999999,2000000.0,1.0,1.0,1.0,0.692599,0.1925989999999999,2000000.0,1.0,1.0,1.0, [0.192599 1表 1裏 1目 1～1局]
0.78,0.0,0.7024535,0.2024534999999999,2000000.0,1.0,1.0,1.0,0.7024535,0.2024534999999999,2000000.0,1.0,1.0,1.0, [0.202453 1表 1裏 1目 1～1局]
0.79,0.0,0.7111435,0.2111435,2000000.0,1.0,1.0,1.0,0.7111435,0.2111435,2000000.0,1.0,1.0,1.0, [0.211144 1表 1裏 1目 1～1局]
0.8,0.0,0.7202525,0.2202524999999999,2000000.0,1.0,1.0,1.0,0.7202525,0.2202524999999999,2000000.0,1.0,1.0,1.0, [0.220252 1表 1裏 1目 1～1局]
0.81,0.0,0.729086,0.229086,2000000.0,1.0,1.0,1.0,0.729086,0.229086,2000000.0,1.0,1.0,1.0, [0.229086 1表 1裏 1目 1～1局]
0.82,0.0,0.7384175,0.2384174999999999,2000000.0,1.0,1.0,1.0,0.7384175,0.2384174999999999,2000000.0,1.0,1.0,1.0, [0.238417 1表 1裏 1目 1～1局]
0.83,0.0,0.746887,0.2468869999999999,2000000.0,1.0,1.0,1.0,0.746887,0.2468869999999999,2000000.0,1.0,1.0,1.0, [0.246887 1表 1裏 1目 1～1局]
0.84,0.0,0.7560705,0.2560705,2000000.0,1.0,1.0,1.0,0.7560705,0.2560705,2000000.0,1.0,1.0,1.0, [0.256070 1表 1裏 1目 1～1局]
0.85,0.0,0.7646935,0.2646935,2000000.0,1.0,1.0,1.0,0.7646935,0.2646935,2000000.0,1.0,1.0,1.0, [0.264694 1表 1裏 1目 1～1局]
0.86,0.0,0.77425,0.27425,2000000.0,1.0,1.0,1.0,0.77425,0.27425,2000000.0,1.0,1.0,1.0, [0.274250 1表 1裏 1目 1～1局]
0.87,0.0,0.782981,0.282981,2000000.0,1.0,1.0,1.0,0.782981,0.282981,2000000.0,1.0,1.0,1.0, [0.282981 1表 1裏 1目 1～1局]
0.88,0.0,0.7920795,0.2920795,2000000.0,1.0,1.0,1.0,0.7920795,0.2920795,2000000.0,1.0,1.0,1.0, [0.292080 1表 1裏 1目 1～1局]
0.89,0.0,0.8010215,0.3010215,2000000.0,1.0,1.0,1.0,0.8010215,0.3010215,2000000.0,1.0,1.0,1.0, [0.301022 1表 1裏 1目 1～1局]
0.9,0.0,0.8100415,0.3100414999999999,2000000.0,1.0,1.0,1.0,0.8100415,0.3100414999999999,2000000.0,1.0,1.0,1.0, [0.310041 1表 1裏 1目 1～1局]
0.91,0.0,0.8199145,0.3199145,2000000.0,1.0,1.0,1.0,0.8199145,0.3199145,2000000.0,1.0,1.0,1.0, [0.319914 1表 1裏 1目 1～1局]
0.92,0.0,0.828222,0.328222,2000000.0,1.0,1.0,1.0,0.828222,0.328222,2000000.0,1.0,1.0,1.0, [0.328222 1表 1裏 1目 1～1局]
0.93,0.0,0.836797,0.336797,2000000.0,1.0,1.0,1.0,0.836797,0.336797,2000000.0,1.0,1.0,1.0, [0.336797 1表 1裏 1目 1～1局]
0.94,0.0,0.8457095,0.3457095,2000000.0,1.0,1.0,1.0,0.8457095,0.3457095,2000000.0,1.0,1.0,1.0, [0.345710 1表 1裏 1目 1～1局]
0.95,0.0,0.855139,0.355139,2000000.0,1.0,1.0,1.0,0.855139,0.355139,2000000.0,1.0,1.0,1.0, [0.355139 1表 1裏 1目 1～1局]
0.96,0.0,0.864071,0.364071,2000000.0,1.0,1.0,1.0,0.864071,0.364071,2000000.0,1.0,1.0,1.0, [0.364071 1表 1裏 1目 1～1局]
0.97,0.0,0.8733195,0.3733195,2000000.0,1.0,1.0,1.0,0.8733195,0.3733195,2000000.0,1.0,1.0,1.0, [0.373320 1表 1裏 1目 1～1局]
0.98,0.0,0.881801,0.3818009999999999,2000000.0,1.0,1.0,1.0,0.881801,0.3818009999999999,2000000.0,1.0,1.0,1.0, [0.381801 1表 1裏 1目 1～1局]
0.99,0.0,0.891184,0.391184,2000000.0,1.0,1.0,1.0,0.891184,0.391184,2000000.0,1.0,1.0,1.0, [0.391184 1表 1裏 1目 1～1局]
0.5,0.1,0.4602475,-0.039752500000000024,2000000.0,1.0,3.0,4.0,0.4602475,-0.039752500000000024,2000000.0,1.0,3.0,4.0, [-0.049905 1表 1裏 1目 1～1局] [-0.049851 2表 2裏 2目 1～1局] [-0.043070 1表 2裏 3目 2～4局] [-0.039753 1表 3裏 4目 2～5局]
