p,failure_rate,best_p,best_p_error,best_number_of_series,best_p_step,best_q_step,best_span,latest_p,latest_p_error,latest_number_of_series,latest_p_step,latest_q_step,latest_span,process
0.84,0.0,0.6410495,0.1410495,2000000.0,1.0,1.0,2.0,0.6410495,0.1410495,2000000.0,1.0,1.0,2.0, [0.256070 1表 1裏 1目 1～1局] [0.141050 1表 1裏 2目 2～3局]
0.85,0.0,0.65049,0.15049,2000000.0,1.0,1.0,2.0,0.65049,0.15049,2000000.0,1.0,1.0,2.0, [0.264694 1表 1裏 1目 1～1局] [0.150490 1表 1裏 2目 2～3局]
0.86,0.0,0.6598705,0.1598705,2000000.0,1.0,1.0,2.0,0.6598705,0.1598705,2000000.0,1.0,1.0,2.0, [0.274250 1表 1裏 1目 1～1局] [0.159871 1表 1裏 2目 2～3局]
0.87,0.0,0.6696885,0.1696885,2000000.0,1.0,1.0,2.0,0.6696885,0.1696885,2000000.0,1.0,1.0,2.0, [0.282981 1表 1裏 1目 1～1局] [0.169689 1表 1裏 2目 2～3局]
0.88,0.0,0.6797065,0.1797065,2000000.0,1.0,1.0,2.0,0.6797065,0.1797065,2000000.0,1.0,1.0,2.0, [0.292080 1表 1裏 1目 1～1局] [0.179706 1表 1裏 2目 2～3局]
0.89,0.0,0.6899685,0.1899684999999999,2000000.0,1.0,1.0,2.0,0.6899685,0.1899684999999999,2000000.0,1.0,1.0,2.0, [0.301022 1表 1裏 1目 1～1局] [0.189968 1表 1裏 2目 2～3局]
0.9,0.0,0.7006225,0.2006225,2000000.0,1.0,1.0,2.0,0.7006225,0.2006225,2000000.0,1.0,1.0,2.0, [0.310041 1表 1裏 1目 1～1局] [0.200623 1表 1裏 2目 2～3局]
0.91,0.0,0.7120215,0.2120214999999999,2000000.0,1.0,1.0,2.0,0.7120215,0.2120214999999999,2000000.0,1.0,1.0,2.0, [0.319914 1表 1裏 1目 1～1局] [0.212021 1表 1裏 2目 2～3局]
0.92,0.0,0.722937,0.222937,2000000.0,1.0,1.0,2.0,0.722937,0.222937,2000000.0,1.0,1.0,2.0, [0.328222 1表 1裏 1目 1～1局] [0.222937 1表 1裏 2目 2～3局]
0.93,0.0,0.735315,0.235315,2000000.0,1.0,1.0,2.0,0.735315,0.235315,2000000.0,1.0,1.0,2.0, [0.336797 1表 1裏 1目 1～1局] [0.235315 1表 1裏 2目 2～3局]
0.94,0.0,0.7471065,0.2471065,2000000.0,1.0,1.0,2.0,0.7471065,0.2471065,2000000.0,1.0,1.0,2.0, [0.345710 1表 1裏 1目 1～1局] [0.247107 1表 1裏 2目 2～3局]
0.95,0.0,0.7601075,0.2601075,2000000.0,1.0,1.0,2.0,0.7601075,0.2601075,2000000.0,1.0,1.0,2.0, [0.355139 1表 1裏 1目 1～1局] [0.260108 1表 1裏 2目 2～3局]
0.96,0.0,0.7724715,0.2724715,2000000.0,1.0,1.0,2.0,0.7724715,0.2724715,2000000.0,1.0,1.0,2.0, [0.364071 1表 1裏 1目 1～1局] [0.272471 1表 1裏 2目 2～3局]
0.97,0.0,0.785907,0.285907,2000000.0,1.0,1.0,2.0,0.785907,0.285907,2000000.0,1.0,1.0,2.0, [0.373320 1表 1裏 1目 1～1局] [0.285907 1表 1裏 2目 2～3局]
0.98,0.0,0.799054,0.299054,2000000.0,1.0,1.0,2.0,0.799054,0.299054,2000000.0,1.0,1.0,2.0, [0.381801 1表 1裏 1目 1～1局] [0.299054 1表 1裏 2目 2～3局]
0.99,0.0,0.8137235,0.3137235,2000000.0,1.0,1.0,2.0,0.8137235,0.3137235,2000000.0,1.0,1.0,2.0, [0.391184 1表 1裏 1目 1～1局] [0.313724 1表 1裏 2目 2～3局]
0.5,0.1,0.4797455,-0.02025450000000001,2000000.0,3.0,4.0,5.0,0.4797455,-0.02025450000000001,2000000.0,3.0,4.0,5.0, [-0.049905 1表 1裏 1目 1～1局] [-0.049851 2表 2裏 2目 1～1局] [-0.043070 1表 2裏 3目 2～4局] [-0.039753 1表 3裏 4目 2～5局] [-0.034301 1表 3裏 5目 3～6局] [-0.020255 3表 4裏 5目 2～3局]
0.51,0.1,0.481782,-0.018218000000000012,2000000.0,3.0,4.0,5.0,0.481782,-0.018218000000000012,2000000.0,3.0,4.0,5.0, [-0.041394 1表 1裏 1目 1～1局] [-0.040684 2表 2裏 2目 1～1局] [-0.040546 3表 3裏 3目 1～1局] [-0.037109 1表 3裏 4目 2～5局] [-0.031168 1表 3裏 5目 3～6局] [-0.018218 3表 4裏 5目 2～3局]
0.52,0.1,0.471038,-0.0289619999999999,2000000.0,1.0,3.0,5.0,0.471038,-0.0289619999999999,2000000.0,1.0,3.0,5.0, [-0.031492 1表 1裏 1目 1～1局] [-0.031489 2表 2裏 2目 1～1局] [-0.031421 4表 4裏 4目 1～1局] [-0.028962 1表 3裏 5目 3～6局]
