p,p_step,q_step,span,comment
0.86,1,5,5,[85.9699 ％（+35.9699） 1表 1裏 1目 1～1局] [77.2859 ％（+27.2859） 1表 1裏 2目 2～3局] [75.6215 ％（+25.6215） 1表 2裏 2目 1～2局] [71.8004 ％（+21.8004） 1表 1裏 3目 3～5局] [69.6830 ％（+19.6830） 1表 2裏 3目 2～4局] [67.9596 ％（+17.9596） 1表 3裏 3目 1～3局] [63.9815 ％（+13.9815） 1表 3裏 4目 2～5局] [62.3249 ％（+12.3249） 1表 4裏 4目 1～4局] [61.9217 ％（+11.9217） 1表 3裏 5目 3～6局] [59.7669 ％（+9.7669） 1表 4裏 5目 2～6局] [58.1260 ％（+8.1260） 1表 5裏 5目 1～5局]
0.87,1,4,5,[87.0204 ％（+37.0204） 1表 1裏 1目 1～1局] [78.6285 ％（+28.6285） 1表 1裏 2目 2～3局] [77.2008 ％（+27.2008） 1表 2裏 2目 1～2局] [73.1488 ％（+23.1488） 1表 1裏 3目 3～5局] [71.1485 ％（+21.1485） 1表 2裏 3目 2～4局] [69.7492 ％（+19.7492） 1表 3裏 3目 1～3局] [69.3864 ％（+19.3864） 1表 1裏 4目 4～7局] [65.5564 ％（+15.5564） 1表 3裏 4目 2～5局] [64.0876 ％（+14.0876） 1表 4裏 4目 1～4局] [63.2170 ％（+13.2170） 1表 3裏 5目 3～6局] [61.2193 ％（+11.2193） 1表 4裏 5目 2～6局]
0.88,1,4,5,[88.0074 ％（+38.0074） 1表 1裏 1目 1～1局] [79.9621 ％（+29.9621） 1表 1裏 2目 2～3局] [78.6470 ％（+28.6470） 1表 2裏 2目 1～2局] [74.4390 ％（+24.4390） 1表 1裏 3目 3～5局] [72.7795 ％（+22.7795） 1表 2裏 3目 2～4局] [71.4121 ％（+21.4121） 1表 3裏 3目 1～3局] [70.6851 ％（+20.6851） 1表 1裏 4目 4～7局] [67.2129 ％（+17.2129） 1表 3裏 4目 2～5局] [65.9229 ％（+15.9229） 1表 4裏 4目 1～4局] [64.5733 ％（+14.5733） 1表 3裏 5目 3～6局] [62.8949 ％（+12.8949） 1表 4裏 5目 2～6局]
0.89,1,3,5,[88.9907 ％（+38.9907） 1表 1裏 1目 1～1局] [81.4106 ％（+31.4106） 1表 1裏 2目 2～3局] [80.2800 ％（+30.2800） 1表 2裏 2目 1～2局] [76.0064 ％（+26.0064） 1表 1裏 3目 3～5局] [74.4488 ％（+24.4488） 1表 2裏 3目 2～4局] [73.3922 ％（+23.3922） 1表 3裏 3目 1～3局] [72.0933 ％（+22.0933） 1表 1裏 4目 4～7局] [68.9882 ％（+18.9882） 1表 3裏 4目 2～5局] [67.9638 ％（+17.9638） 1表 4裏 4目 1～4局] [67.7002 ％（+17.7002） 1表 2裏 5目 3～7局] [66.1933 ％（+16.1933） 1表 3裏 5目 3～6局]
0.9,1,3,5,[90.0042 ％（+40.0042） 1表 1裏 1目 1～1局] [82.8148 ％（+32.8148） 1表 1裏 2目 2～3局] [81.8820 ％（+31.8820） 1表 2裏 2目 1～2局] [77.5897 ％（+27.5897） 1表 1裏 3目 3～5局] [76.2321 ％（+26.2321） 1表 2裏 3目 2～4局] [75.3420 ％（+25.3420） 1表 3裏 3目 1～3局] [73.6521 ％（+23.6521） 1表 1裏 4目 4～7局] [70.9691 ％（+20.9691） 1表 3裏 4目 2～5局] [70.0243 ％（+20.0243） 1表 4裏 4目 1～4局] [69.2435 ％（+19.2435） 1表 2裏 5目 3～7局] [67.9562 ％（+17.9562） 1表 3裏 5目 3～6局]
0.91,1,2,5,[90.9824 ％（+40.9824） 1表 1裏 1目 1～1局] [84.3209 ％（+34.3209） 1表 1裏 2目 2～3局] [83.5386 ％（+33.5386） 1表 2裏 2目 1～2局] [79.1914 ％（+29.1914） 1表 1裏 3目 3～5局] [78.1610 ％（+28.1610） 1表 2裏 3目 2～4局] [77.3758 ％（+27.3758） 1表 3裏 3目 1～3局] [75.3113 ％（+25.3113） 1表 1裏 4目 4～7局] [73.0248 ％（+23.0248） 1表 3裏 4目 2～5局] [72.3438 ％（+22.3438） 1表 4裏 4目 1～4局] [72.3275 ％（+22.3275） 1表 1裏 5目 5～9局] [71.0865 ％（+21.0865） 1表 2裏 5目 3～7局]
0.92,1,2,5,[91.9824 ％（+41.9824） 1表 1裏 1目 1～1局] [85.8173 ％（+35.8173） 1表 1裏 2目 2～3局] [85.2241 ％（+35.2241） 1表 2裏 2目 1～2局] [80.9755 ％（+30.9755） 1表 1裏 3目 3～5局] [80.0873 ％（+30.0873） 1表 2裏 3目 2～4局] [79.4886 ％（+29.4886） 1表 3裏 3目 1～3局] [77.2386 ％（+27.2386） 1表 1裏 4目 4～7局] [75.2270 ％（+25.2270） 1表 3裏 4目 2～5局] [74.5887 ％（+24.5887） 1表 4裏 4目 1～4局] [74.1954 ％（+24.1954） 1表 1裏 5目 5～9局] [73.0952 ％（+23.0952） 1表 2裏 5目 3～7局]
0.93,1,2,5,[92.9934 ％（+42.9934） 1表 1裏 1目 1～1局] [87.4514 ％（+37.4514） 1表 1裏 2目 2～3局] [86.9131 ％（+36.9131） 1表 2裏 2目 1～2局] [82.9415 ％（+32.9415） 1表 1裏 3目 3～5局] [82.1581 ％（+32.1581） 1表 2裏 3目 2～4局] [81.7565 ％（+31.7565） 1表 3裏 3目 1～3局] [79.2624 ％（+29.2624） 1表 1裏 4目 4～7局] [77.5684 ％（+27.5684） 1表 3裏 4目 2～5局] [77.1298 ％（+27.1298） 1表 4裏 4目 1～4局] [76.2298 ％（+26.2298） 1表 1裏 5目 5～9局] [75.3247 ％（+25.3247） 1表 2裏 5目 3～7局]
0.94,1,2,5,[93.9949 ％（+43.9949） 1表 1裏 1目 1～1局] [89.0366 ％（+39.0366） 1表 1裏 2目 2～3局] [88.7108 ％（+38.7108） 1表 2裏 2目 1～2局] [84.8874 ％（+34.8874） 1表 1裏 3目 3～5局] [84.3469 ％（+34.3469） 1表 2裏 3目 2～4局] [83.9873 ％（+33.9873） 1表 3裏 3目 1～3局] [81.4928 ％（+31.4928） 1表 1裏 4目 4～7局] [80.2017 ％（+30.2017） 1表 3裏 4目 2～5局] [79.8750 ％（+29.8750） 1表 4裏 4目 1～4局] [78.5773 ％（+28.5773） 1表 1裏 5目 5～9局] [77.7791 ％（+27.7791） 1表 2裏 5目 3～7局]
0.95,1,2,5,[94.9796 ％（+44.9796） 1表 1裏 1目 1～1局] [90.7331 ％（+40.7331） 1表 1裏 2目 2～3局] [90.5046 ％（+40.5046） 1表 2裏 2目 1～2局] [87.0348 ％（+37.0348） 1表 1裏 3目 3～5局] [86.6528 ％（+36.6528） 1表 2裏 3目 2～4局] [86.4347 ％（+36.4347） 1表 3裏 3目 1～3局] [83.8948 ％（+33.8948） 1表 1裏 4目 4～7局] [82.9557 ％（+32.9557） 1表 3裏 4目 2～5局] [82.7185 ％（+32.7185） 1表 4裏 4目 1～4局] [81.1841 ％（+31.1841） 1表 1裏 5目 5～9局] [80.5724 ％（+30.5724） 1表 2裏 5目 3～7局]
0.96,1,3,5,[95.9973 ％（+45.9973） 1表 1裏 1目 1～1局] [92.4754 ％（+42.4754） 1表 1裏 2目 2～3局] [92.2770 ％（+42.2770） 1表 2裏 2目 1～2局] [89.3553 ％（+39.3553） 1表 1裏 3目 3～5局] [89.1144 ％（+39.1144） 1表 2裏 3目 2～4局] [88.9169 ％（+38.9169） 1表 3裏 3目 1～3局] [86.5912 ％（+36.5912） 1表 1裏 4目 4～7局] [85.9402 ％（+35.9402） 1表 3裏 4目 2～5局] [85.8343 ％（+35.8343） 1表 4裏 4目 1～4局] [84.1243 ％（+34.1243） 1表 1裏 5目 5～9局] [83.6834 ％（+33.6834） 1表 2裏 5目 3～7局] [83.3418 ％（+33.3418） 1表 3裏 5目 3～6局]
0.97,1,5,5,[97.0029 ％（+47.0029） 1表 1裏 1目 1～1局] [94.2760 ％（+44.2760） 1表 1裏 2目 2～3局] [94.2122 ％（+44.2122） 1表 2裏 2目 1～2局] [91.7867 ％（+41.7867） 1表 1裏 3目 3～5局] [91.6249 ％（+41.6249） 1表 2裏 3目 2～4局] [91.5381 ％（+41.5381） 1表 3裏 3目 1～3局] [89.5158 ％（+39.5158） 1表 1裏 4目 4～7局] [89.1234 ％（+39.1234） 1表 3裏 4目 2～5局] [89.0510 ％（+39.0510） 1表 4裏 4目 1～4局] [87.3802 ％（+37.3802） 1表 1裏 5目 5～9局] [87.1217 ％（+37.1217） 1表 2裏 5目 3～7局] [86.8671 ％（+36.8671） 1表 3裏 5目 3～6局] [86.7461 ％（+36.7461） 1表 4裏 5目 2～6局] [86.6874 ％（+36.6874） 1表 5裏 5目 1～5局] [85.5213 ％（+35.5213） 1表 1裏 6目 6～11局]
0.98,1,6,7,[97.9935 ％（+47.9935） 1表 1裏 1目 1～1局] [96.1364 ％（+46.1364） 1表 1裏 2目 2～3局] [96.0813 ％（+46.0813） 1表 2裏 2目 1～2局] [94.3453 ％（+44.3453） 1表 1裏 3目 3～5局] [94.2662 ％（+44.2662） 1表 2裏 3目 2～4局] [94.2306 ％（+44.2306） 1表 3裏 3目 1～3局] [92.6513 ％（+42.6513） 1表 1裏 4目 4～7局] [92.5548 ％（+42.5548） 1表 3裏 4目 2～5局] [92.4751 ％（+42.4751） 1表 4裏 4目 1～4局] [91.1022 ％（+41.1022） 1表 1裏 5目 5～9局] [90.9493 ％（+40.9493） 1表 2裏 5目 3～7局] [90.8512 ％（+40.8512） 1表 3裏 5目 3～6局] [90.7969 ％（+40.7969） 1表 4裏 5目 2～6局] [90.7490 ％（+40.7490） 1表 5裏 5目 1～5局] [89.6039 ％（+39.6039） 1表 1裏 6目 6～11局] [89.5130 ％（+39.5130） 1表 2裏 6目 4～8局] [89.1914 ％（+39.1914） 1表 5裏 6目 2～7局] [89.1356 ％（+39.1356） 1表 6裏 6目 1～6局] [88.2332 ％（+38.2332） 1表 1裏 7目 7～13局] [88.0397 ％（+38.0397） 1表 2裏 7目 5～10局] [87.9154 ％（+37.9154） 1表 3裏 7目 3～9局] [87.8062 ％（+37.8062） 1表 4裏 7目 3～8局] [87.5835 ％（+37.5835） 1表 6裏 7目 2～8局]
0.99,1,5,9,[98.9938 ％（+48.9938） 1表 1裏 1目 1～1局] [98.0418 ％（+48.0418） 1表 1裏 2目 2～3局] [98.0337 ％（+48.0337） 1表 2裏 2目 1～2局] [97.0591 ％（+47.0591） 1表 1裏 3目 3～5局] [96.1700 ％（+46.1700） 1表 1裏 4目 4～7局] [96.1121 ％（+46.1121） 1表 3裏 4目 2～5局] [95.2724 ％（+45.2724） 1表 1裏 5目 5～9局] [95.2273 ％（+45.2273） 1表 2裏 5目 3～7局] [95.1908 ％（+45.1908） 1表 4裏 5目 2～6局] [95.1834 ％（+45.1834） 1表 5裏 5目 1～5局] [94.4190 ％（+44.4190） 1表 1裏 6目 6～11局] [94.3875 ％（+44.3875） 1表 2裏 6目 4～8局] [94.3137 ％（+44.3137） 1表 5裏 6目 2～7局] [93.6303 ％（+43.6303） 1表 1裏 7目 7～13局] [93.5419 ％（+43.5419） 1表 2裏 7目 5～10局] [93.5381 ％（+43.5381） 1表 3裏 7目 3～9局] [93.4883 ％（+43.4883） 1表 4裏 7目 3～8局] [93.4066 ％（+43.4066） 1表 6裏 7目 2～8局] [93.3925 ％（+43.3925） 1表 7裏 7目 1～7局] [92.7694 ％（+42.7694） 1表 1裏 8目 8～15局] [92.7307 ％（+42.7307） 1表 2裏 8目 5～11局] [92.7132 ％（+42.7132） 1表 3裏 8目 4～10局] [92.5073 ％（+42.5073） 1表 7裏 8目 2～9局] [92.0143 ％（+42.0143） 1表 1裏 9目 9～17局] [91.9065 ％（+41.9065） 1表 2裏 9目 6～13局] [91.7987 ％（+41.7987） 1表 4裏 9目 3～11局] [91.7693 ％（+41.7693） 1表 5裏 9目 3～10局]
