p,number_of_series,p_step,q_step,span,presentable,comment,candidates
0.70,0,1,2,2,,,[70.0000 ％（+20.0000） 1表 1裏 1目 1～1局] [49.0000 ％（-1.0000） 1表 2裏 2目 1～2局] [49.2516 ％（-0.7484） 2表 5裏 17目 4～12局] [49.4176 ％（-0.5824） 2表 5裏 31目 7～22局] [49.5078 ％（-0.4922） 2表 5裏 46目 10～32局] [49.5660 ％（-0.4340） 3表 7裏 88目 13～42局] [49.6076 ％（-0.3924） 3表 7裏 109目 16～52局] [49.6392 ％（-0.3608） 3表 7裏 130目 19～62局] [49.6642 ％（-0.3358） 3表 7裏 151目 22～72局] [49.6846 ％（-0.3154） 3表 7裏 172目 25～82局] [49.7017 ％（-0.2983） 3表 7裏 193目 28～92局] [49.7163 ％（-0.2837） 3表 7裏 214目 31～102局] [49.7290 ％（-0.2710） 3表 7裏 235目 34～112局] [49.7401 ％（-0.2599） 3表 7裏 256目 37～122局] [49.7499 ％（-0.2501） 3表 7裏 277目 40～132局] [49.7587 ％（-0.2413） 3表 7裏 298目 43～142局]
0.71,0,1,2,2,,,[71.0000 ％（+21.0000） 1表 1裏 1目 1～1局] [50.4100 ％（+0.4100） 1表 2裏 2目 1～2局] [50.0204 ％（+0.0204） 2表 5裏 47目 10～33局]
0.72,0,1,2,2,,,[72.0000 ％（+22.0000） 1表 1裏 1目 1～1局] [51.8400 ％（+1.8400） 1表 2裏 2目 1～2局] [51.7098 ％（+1.7098） 1表 3裏 7目 3～9局] [48.4515 ％（-1.5485） 1表 3裏 10目 4～13局] [49.5181 ％（-0.4819） 2表 5裏 29目 6～20局] [50.2571 ％（+0.2571） 2表 5裏 39目 8～27局] [50.1753 ％（+0.1753） 2表 5裏 75目 15～52局] [50.1411 ％（+0.1411） 5表 13裏 276目 22～77局]
0.73,0,1,3,5,,,[73.0000 ％（+23.0000） 1表 1裏 1目 1～1局] [53.2900 ％（+3.2900） 1表 2裏 2目 1～2局] [48.7172 ％（-1.2828） 1表 3裏 5目 2～6局] [49.7741 ％（-0.2259） 1表 3裏 13目 5～17局] [49.9707 ％（-0.0293） 3表 8裏 118目 15～54局]
0.74,0,1,3,5,,,[74.0000 ％（+24.0000） 1表 1裏 1目 1～1局] [54.7600 ％（+4.7600） 1表 2裏 2目 1～2局] [51.0372 ％（+1.0372） 1表 3裏 5目 2～6局] [49.5780 ％（-0.4220） 1表 3裏 8目 3～10局] [50.0257 ％（+0.0257） 1表 3裏 25目 9～33局] [50.0065 ％（+0.0065） 5表 14裏 306目 22～83局]
0.75,0,1,3,5,,,[75.0000 ％（+25.0000） 1表 1裏 1目 1～1局] [56.2500 ％（+6.2500） 1表 2裏 2目 1～2局] [53.3936 ％（+3.3936） 1表 3裏 5目 2～6局] [52.5593 ％（+2.5593） 1表 3裏 8目 3～10局] [52.1340 ％（+2.1340） 1表 3裏 11目 4～14局] [51.8669 ％（+1.8669） 1表 3裏 14目 5～18局] [51.6797 ％（+1.6797） 1表 3裏 17目 6～22局] [51.5393 ％（+1.5393） 1表 3裏 20目 7～26局] [51.4290 ％（+1.4290） 1表 3裏 23目 8～30局] [51.3394 ％（+1.3394） 1表 3裏 26目 9～34局] [51.2647 ％（+1.2647） 1表 3裏 29目 10～38局] [51.2013 ％（+1.2013） 1表 3裏 32目 11～42局] [51.1465 ％（+1.1465） 1表 3裏 35目 12～46局] [51.0986 ％（+1.0986） 1表 3裏 38目 13～50局] [51.0562 ％（+1.0562） 1表 3裏 41目 14～54局] [51.0184 ％（+1.0184） 1表 3裏 44目 15～58局] [50.9844 ％（+0.9844） 1表 3裏 47目 16～62局] [50.9536 ％（+0.9536） 1表 3裏 50目 17～66局] [50.9254 ％（+0.9254） 1表 3裏 53目 18～70局] [50.8997 ％（+0.8997） 1表 3裏 56目 19～74局] [50.8760 ％（+0.8760） 1表 3裏 59目 20～78局] [50.8540 ％（+0.8540） 1表 3裏 62目 21～82局] [50.8336 ％（+0.8336） 1表 3裏 65目 22～86局] [50.8147 ％（+0.8147） 1表 3裏 68目 23～90局] [50.7969 ％（+0.7969） 1表 3裏 71目 24～94局] [50.7803 ％（+0.7803） 1表 3裏 74目 25～98局] [50.7646 ％（+0.7646） 1表 3裏 77目 26～102局] [50.7499 ％（+0.7499） 1表 3裏 80目 27～106局] [50.7360 ％（+0.7360） 1表 3裏 83目 28～110局] [50.7228 ％（+0.7228） 1表 3裏 86目 29～114局] [50.7104 ％（+0.7104） 1表 3裏 89目 30～118局] [50.6985 ％（+0.6985） 1表 3裏 92目 31～122局] [50.6872 ％（+0.6872） 1表 3裏 95目 32～126局] [50.6765 ％（+0.6765） 1表 3裏 98目 33～130局] [50.6662 ％（+0.6662） 1表 3裏 101目 34～134局] [50.6564 ％（+0.6564） 1表 3裏 104目 35～138局] [50.6470 ％（+0.6470） 1表 3裏 107目 36～142局] [50.6380 ％（+0.6380） 1表 3裏 110目 37～146局] [50.6294 ％（+0.6294） 1表 3裏 113目 38～150局] [50.6211 ％（+0.6211） 1表 3裏 116目 39～154局] [50.6131 ％（+0.6131） 1表 3裏 119目 40～158局] [50.6054 ％（+0.6054） 1表 3裏 122目 41～162局] [50.5981 ％（+0.5981） 1表 3裏 125目 42～166局] [50.5909 ％（+0.5909） 1表 3裏 128目 43～170局] [50.5840 ％（+0.5840） 1表 3裏 131目 44～174局] [50.5774 ％（+0.5774） 1表 3裏 134目 45～178局] [50.5710 ％（+0.5710） 1表 3裏 137目 46～182局] [50.5648 ％（+0.5648） 1表 3裏 140目 47～186局] [50.5588 ％（+0.5588） 1表 3裏 143目 48～190局] [50.5529 ％（+0.5529） 1表 3裏 146目 49～194局] [50.5473 ％（+0.5473） 1表 3裏 149目 50～198局] [50.5418 ％（+0.5418） 1表 3裏 152目 51～202局] [50.5365 ％（+0.5365） 1表 3裏 155目 52～206局] [50.5313 ％（+0.5313） 1表 3裏 158目 53～210局] [50.5263 ％（+0.5263） 1表 3裏 161目 54～214局] [50.5214 ％（+0.5214） 1表 3裏 164目 55～218局] [50.5167 ％（+0.5167） 1表 3裏 167目 56～222局] [50.5121 ％（+0.5121） 1表 3裏 170目 57～226局] [50.5076 ％（+0.5076） 1表 3裏 173目 58～230局] [50.5032 ％（+0.5032） 1表 3裏 176目 59～234局] [50.4989 ％（+0.4989） 1表 3裏 179目 60～238局] [50.4948 ％（+0.4948） 1表 3裏 182目 61～242局] [50.4907 ％（+0.4907） 1表 3裏 185目 62～246局] [50.4867 ％（+0.4867） 1表 3裏 188目 63～250局] [50.4829 ％（+0.4829） 1表 3裏 191目 64～254局] [50.4791 ％（+0.4791） 1表 3裏 194目 65～258局] [50.4754 ％（+0.4754） 1表 3裏 197目 66～262局] [50.4718 ％（+0.4718） 1表 3裏 200目 67～266局] [50.4683 ％（+0.4683） 1表 3裏 203目 68～270局] [50.4648 ％（+0.4648） 1表 3裏 206目 69～274局] [50.4615 ％（+0.4615） 1表 3裏 209目 70～278局] [50.4582 ％（+0.4582） 1表 3裏 212目 71～282局] [50.4549 ％（+0.4549） 1表 3裏 215目 72～286局] [50.4518 ％（+0.4518） 1表 3裏 218目 73～290局] [50.4487 ％（+0.4487） 1表 3裏 221目 74～294局] [50.4456 ％（+0.4456） 1表 3裏 224目 75～298局] [50.4427 ％（+0.4427） 1表 3裏 227目 76～302局] [50.4398 ％（+0.4398） 1表 3裏 230目 77～306局] [50.4369 ％（+0.4369） 1表 3裏 233目 78～310局] [50.4341 ％（+0.4341） 1表 3裏 236目 79～314局] [50.4314 ％（+0.4314） 1表 3裏 239目 80～318局] [50.4287 ％（+0.4287） 1表 3裏 242目 81～322局] [50.4260 ％（+0.4260） 1表 3裏 245目 82～326局] [50.4234 ％（+0.4234） 1表 3裏 248目 83～330局] [50.4209 ％（+0.4209） 1表 3裏 251目 84～334局] [50.4184 ％（+0.4184） 1表 3裏 254目 85～338局] [50.4159 ％（+0.4159） 1表 3裏 257目 86～342局] [50.4135 ％（+0.4135） 1表 3裏 260目 87～346局] [50.4111 ％（+0.4111） 1表 3裏 263目 88～350局] [50.4088 ％（+0.4088） 1表 3裏 266目 89～354局] [50.4065 ％（+0.4065） 1表 3裏 269目 90～358局] [50.4042 ％（+0.4042） 1表 3裏 272目 91～362局] [50.4020 ％（+0.4020） 1表 3裏 275目 92～366局] [50.3998 ％（+0.3998） 1表 3裏 278目 93～370局] [50.3976 ％（+0.3976） 1表 3裏 281目 94～374局] [50.3955 ％（+0.3955） 1表 3裏 284目 95～378局] [50.3934 ％（+0.3934） 1表 3裏 287目 96～382局] [50.3914 ％（+0.3914） 1表 3裏 290目 97～386局] [50.3894 ％（+0.3894） 1表 3裏 293目 98～390局] [50.3874 ％（+0.3874） 1表 3裏 296目 99～394局] [50.3854 ％（+0.3854） 1表 3裏 299目 100～398局] [50.3835 ％（+0.3835） 1表 3裏 302目 101～402局] [50.3816 ％（+0.3816） 1表 3裏 305目 102～406局] [50.3797 ％（+0.3797） 1表 3裏 308目 103～410局] [50.3779 ％（+0.3779） 1表 3裏 311目 104～414局] [50.3761 ％（+0.3761） 1表 3裏 314目 105～418局]
0.76,0,1,3,6,《1表 3裏 12目 4～15局で４９％》,,[76.0000 ％（+26.0000） 1表 1裏 1目 1～1局] [57.7600 ％（+7.7600） 1表 2裏 2目 1～2局] [43.8976 ％（-6.1024） 1表 3裏 3目 1～3局] [55.7816 ％（+5.7816） 1表 3裏 5目 2～6局] [47.0188 ％（-2.9812） 1表 3裏 6目 2～7局] [48.6565 ％（-1.3435） 1表 3裏 9目 3～11局] [49.7762 ％（-0.2238） 1表 3裏 12目 4～15局] [49.8258 ％（-0.1742） 3表 10裏 91目 10～40局] [49.8565 ％（-0.1435） 4表 13裏 197目 16～65局] [49.8755 ％（-0.1245） 4表 13裏 274目 22～90局]
0.77,0,1,3,6,,,[77.0000 ％（+27.0000） 1表 1裏 1目 1～1局] [59.2900 ％（+9.2900） 1表 2裏 2目 1～2局] [45.6533 ％（-4.3467） 1表 3裏 3目 1～3局] [49.6045 ％（-0.3955） 1表 3裏 6目 2～7局] [49.8569 ％（-0.1431） 2表 7裏 31目 5～20局] [50.0325 ％（+0.0325） 2表 7裏 51目 8～33局] [50.0040 ％（+0.0040） 3表 10裏 307目 31～133局]
0.78,0,1,3,6,,,[78.0000 ％（+28.0000） 1表 1裏 1目 1～1局] [60.8400 ％（+10.8400） 1表 2裏 2目 1～2局] [47.4552 ％（-2.5448） 1表 3裏 3目 1～3局] [52.2463 ％（+2.2463） 1表 3裏 6目 2～7局] [48.8643 ％（-1.1357） 1表 4裏 10目 3～12局] [49.5096 ％（-0.4904） 1表 4裏 17目 5～21局] [49.9236 ％（-0.0764） 2表 7裏 47目 7～30局] [49.9376 ％（-0.0624） 2表 7裏 125目 18～80局] [49.9482 ％（-0.0518） 2表 7裏 203目 29～130局]
0.79,0,1,3,3,,,[79.0000 ％（+29.0000） 1表 1裏 1目 1～1局] [62.4100 ％（+12.4100） 1表 2裏 2目 1～2局] [49.3039 ％（-0.6961） 1表 3裏 3目 1～3局] [49.5835 ％（-0.4165） 1表 4裏 18目 5～22局] [49.8239 ％（-0.1761） 1表 4裏 33目 9～41局] [49.9736 ％（-0.0264） 3表 11裏 142目 13～60局]
