p,failure_rate,turn_system,trials_series,best_p,best_p_error,best_h_step,best_t_step,best_span,latest_p,latest_p_error,latest_h_step,latest_t_step,latest_span,candidates
0.78,0.0,frozen,2000,0.5005,0.0004999999999999449,3,9,17,0.5005,0.0004999999999999449,3,9,17, [0.274500 1表 1裏 1目 1～1局 2000試] [0.114500 1表 2裏 2目 1～2局 2000試] [-0.025500 1表 3裏 3目 1～3局 2000試] [0.006500 1表 4裏 6目 2～7局 2000試] [0.005500 2表 7裏 12目 2～7局 2000試] [0.001000 7表 15裏 15目 1～3局 2000試] [0.000500 3表 9裏 17目 2～7局 2000試]
0.79,0.0,frozen,2000,0.5,0.0,2,6,6,0.5,0.0,2,6,6, [0.287000 1表 1裏 1目 1～1局 2000試] [0.114500 1表 2裏 2目 1～2局 2000試] [0.005000 1表 3裏 3目 1～3局 2000試] [0.000000 2表 6裏 6目 1～3局 2000試]
0.8,0.0,frozen,2000,0.5,0.0,3,18,20,0.5,0.0,3,18,20, [0.288000 1表 1裏 1目 1～1局 2000試] [0.129000 1表 2裏 2目 1～2局 2000試] [0.026000 1表 3裏 3目 1～3局 2000試] [-0.002000 2表 5裏 5目 1～3局 2000試] [0.001500 4表 9裏 9目 1～3局 2000試] [-0.001000 2表 7裏 13目 2～8局 2000試] [0.000000 3表 18裏 20目 1～8局 2000試]
0.81,0.0,frozen,2000,0.5005,0.0004999999999999449,2,11,23,0.5005,0.0004999999999999449,2,11,23, [0.317000 1表 1裏 1目 1～1局 2000試] [0.165500 1表 2裏 2目 1～2局 2000試] [0.052500 1表 3裏 3目 1～3局 2000試] [0.044000 2表 5裏 5目 1～3局 2000試] [0.039000 2表 6裏 6目 1～3局 2000試] [0.037000 1表 5裏 7目 1～8局 2000試] [0.028500 3表 7裏 7目 1～3局 2000試] [-0.028000 1表 5裏 8目 2～9局 2000試] [0.024500 3表 8裏 8目 1～3局 2000試] [0.018500 3表 9裏 9目 1～3局 2000試] [0.005500 1表 5裏 12目 2～14局 2000試] [0.001500 1表 4裏 20目 5～24局 2000試] [0.000500 2表 11裏 23目 2～14局 2000試]
0.82,0.0,frozen,2000,0.4995,-0.0005000000000000004,3,16,23,0.4995,-0.0005000000000000004,3,16,23, [0.314500 1表 1裏 1目 1～1局 2000試] [0.183000 1表 2裏 2目 1～2局 2000試] [0.039500 1表 3裏 3目 1～3局 2000試] [0.035500 1表 5裏 7目 1～8局 2000試] [-0.002000 1表 4裏 8目 2～9局 2000試] [0.001500 3表 13裏 23目 2～9局 2000試] [-0.000500 3表 16裏 23目 1～9局 2000試]
0.83,0.0,frozen,2000,0.5005,0.0004999999999999449,1,6,13,0.5005,0.0004999999999999449,1,6,13, [0.325500 1表 1裏 1目 1～1局 2000試] [0.173000 1表 2裏 2目 1～2局 2000試] [0.061500 1表 3裏 3目 1～3局 2000試] [-0.036500 1表 4裏 4目 1～4局 2000試] [-0.013500 2表 7裏 7目 1～4局 2000試] [-0.010000 2表 8裏 8目 1～4局 2000試] [-0.004000 1表 8裏 9目 1～10局 2000試] [0.000500 1表 6裏 13目 2～15局 2000試]
0.84,0.0,frozen,2000,0.5,0.0,3,13,25,0.5,0.0,3,13,25, [0.337500 1表 1裏 1目 1～1局 2000試] [0.213500 1表 2裏 2目 1～2局 2000試] [0.085500 1表 3裏 3目 1～3局 2000試] [-0.002000 1表 4裏 4目 1～4局 2000試] [-0.001500 6表 19裏 19目 1～4局 2000試] [0.000000 3表 13裏 25目 2～10局 2000試]
0.85,0.0,frozen,2000,0.4995,-0.0005000000000000004,3,27,28,0.4995,-0.0005000000000000004,3,27,28, [0.365500 1表 1裏 1目 1～1局 2000試] [0.215000 1表 2裏 2目 1～2局 2000試] [0.120500 1表 3裏 3目 1～3局 2000試] [0.027000 1表 4裏 4目 1～4局 2000試] [0.011500 2表 7裏 7目 1～4局 2000試] [0.005000 2表 8裏 8目 1～4局 2000試] [-0.001000 1表 5裏 10目 2～11局 2000試] [-0.000500 3表 27裏 28目 1～11局 2000試]
0.86,0.0,frozen,2000,0.5005,0.0004999999999999449,2,14,22,0.5005,0.0004999999999999449,2,14,22, [0.362000 1表 1裏 1目 1～1局 2000試] [0.238500 1表 2裏 2目 1～2局 2000試] [0.136000 1表 3裏 3目 1～3局 2000試] [0.041500 1表 4裏 4目 1～4局 2000試] [-0.034500 1表 5裏 5目 1～5局 2000試] [-0.022000 2表 9裏 9目 1～5局 2000試] [0.020000 1表 9裏 10目 1～11局 2000試] [-0.018500 1表 10裏 11目 1～12局 2000試] [0.018000 1表 6裏 16目 3～18局 2000試] [-0.005000 1表 6裏 17目 3～19局 2000試] [-0.001500 1表 8裏 17目 2～19局 2000試] [0.000500 2表 14裏 22目 2～12局 2000試]
0.87,0.0,frozen,2000,0.4995,-0.0005000000000000004,3,18,34,0.4995,-0.0005000000000000004,3,18,34, [0.368000 1表 1裏 1目 1～1局 2000試] [0.245000 1表 2裏 2目 1～2局 2000試] [0.157500 1表 3裏 3目 1～3局 2000試] [0.068500 1表 4裏 4目 1～4局 2000試] [0.008500 1表 5裏 5目 1～5局 2000試] [-0.004000 1表 7裏 12目 2～13局 2000試] [0.003000 3表 13裏 13目 1～5局 2000試] [-0.001500 5表 21裏 21目 1～5局 2000試] [-0.000500 3表 18裏 34目 2～13局 2000試]
0.88,0.0,frozen,2000,0.4995,-0.0005000000000000004,1,7,13,0.4995,-0.0005000000000000004,1,7,13, [0.378000 1表 1裏 1目 1～1局 2000試] [0.288000 1表 2裏 2目 1～2局 2000試] [0.177500 1表 3裏 3目 1～3局 2000試] [0.106500 1表 4裏 4目 1～4局 2000試] [0.032000 1表 5裏 5目 1～5局 2000試] [0.031000 2表 9裏 9目 1～5局 2000試] [0.020000 1表 6裏 12目 2～13局 2000試] [0.015500 1表 8裏 12目 2～13局 2000試] [0.007500 1表 10裏 12目 1～13局 2000試] [-0.000500 1表 7裏 13目 2～14局 2000試]
0.89,0.0,frozen,2000,0.5005,0.0004999999999999449,2,12,12,0.5005,0.0004999999999999449,2,12,12, [0.395000 1表 1裏 1目 1～1局 2000試] [0.292000 1表 2裏 2目 1～2局 2000試] [0.196000 1表 3裏 3目 1～3局 2000試] [0.121500 1表 4裏 4目 1～4局 2000試] [0.051500 1表 5裏 5目 1～5局 2000試] [-0.021500 1表 6裏 6目 1～6局 2000試] [-0.016000 2表 11裏 11目 1～6局 2000試] [0.000500 2表 12裏 12目 1～6局 2000試]
0.9,0.0,frozen,2000,0.4995,-0.0005000000000000004,1,10,33,0.4995,-0.0005000000000000004,1,10,33, [0.406500 1表 1裏 1目 1～1局 2000試] [0.318000 1表 2裏 2目 1～2局 2000試] [0.219500 1表 3裏 3目 1～3局 2000試] [0.152000 1表 4裏 4目 1～4局 2000試] [0.084500 1表 5裏 5目 1～5局 2000試] [0.040500 1表 6裏 6目 1～6局 2000試] [-0.029500 1表 7裏 7目 1～7局 2000試] [0.022000 2表 11裏 11目 1～6局 2000試] [0.017500 1表 8裏 15目 2～16局 2000試] [0.006000 1表 10裏 15目 2～16局 2000試] [-0.003500 1表 11裏 16目 1～17局 2000試] [-0.002000 1表 10裏 24目 2～26局 2000試] [0.001000 2表 23裏 29目 1～16局 2000試] [-0.000500 1表 10裏 33目 3～36局 2000試]
0.91,0.0,frozen,2000,0.5,0.0,1,14,17,0.5,0.0,1,14,17, [0.413500 1表 1裏 1目 1～1局 2000試] [0.337000 1表 2裏 2目 1～2局 2000試] [0.259000 1表 3裏 3目 1～3局 2000試] [0.179500 1表 4裏 4目 1～4局 2000試] [0.151500 1表 5裏 5目 1～5局 2000試] [0.050000 1表 6裏 6目 1～6局 2000試] [0.025500 1表 7裏 7目 1～7局 2000試] [-0.018500 1表 8裏 8目 1～8局 2000試] [-0.013000 2表 15裏 15目 1～8局 2000試] [-0.001000 1表 10裏 17目 2～18局 2000試] [0.000000 1表 14裏 17目 1～18局 2000試]
0.92,0.0,frozen,2000,0.4995,-0.0005000000000000004,1,11,31,0.4995,-0.0005000000000000004,1,11,31, [0.421500 1表 1裏 1目 1～1局 2000試] [0.342500 1表 2裏 2目 1～2局 2000試] [0.266000 1表 3裏 3目 1～3局 2000試] [0.218500 1表 4裏 4目 1～4局 2000試] [0.151000 1表 5裏 5目 1～5局 2000試] [0.101500 1表 6裏 6目 1～6局 2000試] [0.017500 1表 7裏 7目 1～7局 2000試] [0.003500 1表 8裏 8目 1～8局 2000試] [0.001000 2表 15裏 15目 1～8局 2000試] [-0.000500 1表 11裏 31目 3～33局 2000試]
0.93,0.0,frozen,2000,0.5,0.0,1,21,23,0.5,0.0,1,21,23, [0.428000 1表 1裏 1目 1～1局 2000試] [0.371000 1表 2裏 2目 1～2局 2000試] [0.300500 1表 3裏 3目 1～3局 2000試] [0.253500 1表 4裏 4目 1～4局 2000試] [0.192500 1表 5裏 5目 1～5局 2000試] [0.144500 1表 6裏 6目 1～6局 2000試] [0.091000 1表 7裏 7目 1～7局 2000試] [0.074000 1表 8裏 8目 1～8局 2000試] [0.026500 1表 9裏 9目 1～9局 2000試] [-0.013500 1表 10裏 10目 1～10局 2000試] [0.012000 1表 12裏 22目 2～23局 2000試] [0.005500 1表 17裏 22目 1～23局 2000試] [0.005000 1表 21裏 22目 1～23局 2000試] [-0.001500 1表 20裏 23目 1～24局 2000試] [0.000000 1表 21裏 23目 1～24局 2000試]
0.94,0.0,frozen,2000,0.5005,0.0004999999999999449,1,13,26,0.5005,0.0004999999999999449,1,13,26, [0.450500 1表 1裏 1目 1～1局 2000試] [0.394000 1表 2裏 2目 1～2局 2000試] [0.327500 1表 3裏 3目 1～3局 2000試] [0.291500 1表 4裏 4目 1～4局 2000試] [0.229500 1表 5裏 5目 1～5局 2000試] [0.185000 1表 6裏 6目 1～6局 2000試] [0.164000 1表 7裏 7目 1～7局 2000試] [0.106000 1表 8裏 8目 1～8局 2000試] [0.066500 1表 9裏 9目 1～9局 2000試] [0.035500 1表 10裏 10目 1～10局 2000試] [0.010000 1表 11裏 11目 1～11局 2000試] [0.002500 2表 21裏 21目 1～11局 2000試] [0.000500 1表 13裏 26目 2～27局 2000試]
0.95,0.0,frozen,2000,0.4995,-0.0005000000000000004,1,16,32,0.4995,-0.0005000000000000004,1,16,32, [0.459000 1表 1裏 1目 1～1局 2000試] [0.404500 1表 2裏 2目 1～2局 2000試] [0.356500 1表 3裏 3目 1～3局 2000試] [0.315500 1表 4裏 4目 1～4局 2000試] [0.268000 1表 5裏 5目 1～5局 2000試] [0.229000 1表 6裏 6目 1～6局 2000試] [0.193500 1表 7裏 7目 1～7局 2000試] [0.161000 1表 8裏 8目 1～8局 2000試] [0.134000 1表 9裏 9目 1～9局 2000試] [0.096500 1表 10裏 10目 1～10局 2000試] [0.080000 1表 11裏 11目 1～11局 2000試] [0.065000 1表 12裏 12目 1～12局 2000試] [0.011000 1表 13裏 13目 1～13局 2000試] [0.001000 2表 25裏 25目 1～13局 2000試] [-0.000500 1表 16裏 32目 2～33局 2000試]
