p,best_p,best_p_error,best_number_of_series,best_b_step,best_w_step,best_span,latest_p,latest_p_error,latest_number_of_series,latest_b_step,latest_w_step,latest_span,process
0.65,0.5000625104647389,6.251046473892963e-05,2000000,5,9,171,0.5000625104647389,6.251046473892963e-05,2000000,5,9,171,[0.150000 1表 1裏 1目 1～1局] [-0.077500 1表 2裏 2目 1～2局] [0.062981 1表 2裏 3目 2～4局] [0.032283 1表 2裏 5目 3～7局] [0.013827 1表 2裏 7目 4～10局] [0.000503 1表 2裏 9目 5～13局] [0.000127 5表 9裏 106目 12～33局] [0.000063 5表 9裏 171目 19～53局]
0.66,0.4991710436276079,-0.000828956372392,2000000,1,2,23,0.4991710436276079,-0.000828956372392,2000000,14,43,205,[0.160000 1表 1裏 1目 1～1局] [-0.064400 1表 2裏 2目 1～2局] [-0.052196 1表 2裏 4目 2～5局] [-0.048081 1表 2裏 6目 3～8局] [0.041061 1表 2裏 7目 4～10局] [0.031382 1表 2裏 9目 5～13局] [0.024088 1表 2裏 11目 6～16局] [0.018242 1表 2裏 13目 7～19局] [0.013359 1表 2裏 15目 8～22局] [0.009158 1表 2裏 17目 9～25局] [0.005465 1表 2裏 19目 10～28局] [0.002163 1表 2裏 21目 11～31局] [-0.000829 1表 2裏 23目 12～34局]
0.67,0.4996577100431639,-0.0003422899568361,2000000,1,2,22,0.4996577100431639,-0.0003422899568361,2000000,40,43,205,[0.170000 1表 1裏 1目 1～1局] [-0.051100 1表 2裏 2目 1～2局] [-0.032494 1表 2裏 4目 2～5局] [-0.023565 1表 2裏 6目 3～8局] [-0.017882 1表 2裏 8目 4～11局] [-0.013758 1表 2裏 10目 5～14局] [-0.010531 1表 2裏 12目 6～17局] [-0.007878 1表 2裏 14目 7～20局] [-0.005624 1表 2裏 16目 8～23局] [-0.003659 1表 2裏 18目 9～26局] [-0.001914 1表 2裏 20目 10～29局] [-0.000342 1表 2裏 22目 11～32局]
0.68,0.5000697854337149,6.978543371494172e-05,2000000,5,11,199,0.5000697854337149,6.978543371494172e-05,2000000,5,11,199,[0.180000 1表 1裏 1目 1～1局] [-0.037600 1表 2裏 2目 1～2局] [-0.012505 1表 2裏 4目 2～5局] [0.001298 1表 2裏 6目 3～8局] [0.000162 4表 9裏 91目 11～33局] [0.000070 5表 11裏 199目 19～58局]
0.69,0.4992656976512203,-0.0007343023487796918,2000000,3,7,99,0.4992656976512203,-0.0007343023487796918,2000000,37,45,205,[0.190000 1表 1裏 1目 1～1局] [-0.023900 1表 2裏 2目 1～2局] [0.007744 1表 2裏 4目 2～5局] [-0.002945 2表 5裏 26目 6～18局] [-0.000734 3表 7裏 99目 15～47局]
0.7,0.4970172777353577,-0.0029827222646423013,2000000,3,7,193,0.4970172777353577,-0.0029827222646423013,2000000,9,44,205,[0.200000 1表 1裏 1目 1～1局] [-0.010000 1表 2裏 2目 1～2局] [-0.007484 2表 5裏 17目 4～12局] [-0.005824 2表 5裏 31目 7～22局] [-0.004922 2表 5裏 46目 10～32局] [-0.004340 3表 7裏 88目 13～42局] [-0.003924 3表 7裏 109目 16～52局] [-0.003608 3表 7裏 130目 19～62局] [-0.003358 3表 7裏 151目 22～72局] [-0.003154 3表 7裏 172目 25～82局] [-0.002983 3表 7裏 193目 28～92局]
0.71,0.5002041517924759,0.0002041517924759,2000000,2,5,47,0.5002041517924759,0.0002041517924759,2000000,36,46,205,[0.210000 1表 1裏 1目 1～1局] [0.004100 1表 2裏 2目 1～2局] [0.000204 2表 5裏 47目 10～33局]
0.72,0.5017525688609732,0.0017525688609731,2000000,2,5,75,0.5017525688609732,0.0017525688609731,2000000,44,45,205,[0.220000 1表 1裏 1目 1～1局] [0.018400 1表 2裏 2目 1～2局] [0.017098 1表 3裏 7目 3～9局] [-0.015485 1表 3裏 10目 4～13局] [-0.004819 2表 5裏 29目 6～20局] [0.002571 2表 5裏 39目 8～27局] [0.001753 2表 5裏 75目 15～52局]
0.73,0.4997068951153219,-0.00029310488467809703,2000000,3,8,118,0.4997068951153219,-0.00029310488467809703,2000000,22,46,205,[0.230000 1表 1裏 1目 1～1局] [0.032900 1表 2裏 2目 1～2局] [-0.012828 1表 3裏 5目 2～6局] [-0.002259 1表 3裏 13目 5～17局] [-0.000293 3表 8裏 118目 15～54局]
0.74,0.5002568101263052,0.0002568101263051,2000000,1,3,25,0.5002568101263052,0.0002568101263051,2000000,40,45,205,[0.240000 1表 1裏 1目 1～1局] [0.047600 1表 2裏 2目 1～2局] [0.010372 1表 3裏 5目 2～6局] [-0.004220 1表 3裏 8目 3～10局] [0.000257 1表 3裏 25目 9～33局]
0.75,0.5046828492736949,0.004682849273694889,2000000,1,3,203,0.5046828492736949,0.004682849273694889,2000000,163,204,204,[0.250000 1表 1裏 1目 1～1局] [0.062500 1表 2裏 2目 1～2局] [0.033936 1表 3裏 5目 2～6局] [0.025593 1表 3裏 8目 3～10局] [0.021340 1表 3裏 11目 4～14局] [0.018669 1表 3裏 14目 5～18局] [0.016797 1表 3裏 17目 6～22局] [0.015393 1表 3裏 20目 7～26局] [0.014290 1表 3裏 23目 8～30局] [0.013394 1表 3裏 26目 9～34局] [0.012647 1表 3裏 29目 10～38局] [0.012013 1表 3裏 32目 11～42局] [0.011465 1表 3裏 35目 12～46局] [0.010986 1表 3裏 38目 13～50局] [0.010562 1表 3裏 41目 14～54局] [0.010184 1表 3裏 44目 15～58局] [0.009844 1表 3裏 47目 16～62局] [0.009536 1表 3裏 50目 17～66局] [0.009254 1表 3裏 53目 18～70局] [0.008997 1表 3裏 56目 19～74局] [0.008760 1表 3裏 59目 20～78局] [0.008540 1表 3裏 62目 21～82局] [0.008336 1表 3裏 65目 22～86局] [0.008147 1表 3裏 68目 23～90局] [0.007969 1表 3裏 71目 24～94局] [0.007803 1表 3裏 74目 25～98局] [0.007646 1表 3裏 77目 26～102局] [0.007499 1表 3裏 80目 27～106局] [0.007360 1表 3裏 83目 28～110局] [0.007228 1表 3裏 86目 29～114局] [0.007104 1表 3裏 89目 30～118局] [0.006985 1表 3裏 92目 31～122局] [0.006872 1表 3裏 95目 32～126局] [0.006765 1表 3裏 98目 33～130局] [0.006662 1表 3裏 101目 34～134局] [0.006564 1表 3裏 104目 35～138局] [0.006470 1表 3裏 107目 36～142局] [0.006380 1表 3裏 110目 37～146局] [0.006294 1表 3裏 113目 38～150局] [0.006211 1表 3裏 116目 39～154局] [0.006131 1表 3裏 119目 40～158局] [0.006054 1表 3裏 122目 41～162局] [0.005981 1表 3裏 125目 42～166局] [0.005909 1表 3裏 128目 43～170局] [0.005840 1表 3裏 131目 44～174局] [0.005774 1表 3裏 134目 45～178局] [0.005710 1表 3裏 137目 46～182局] [0.005648 1表 3裏 140目 47～186局] [0.005588 1表 3裏 143目 48～190局] [0.005529 1表 3裏 146目 49～194局] [0.005473 1表 3裏 149目 50～198局] [0.005418 1表 3裏 152目 51～202局] [0.005365 1表 3裏 155目 52～206局] [0.005313 1表 3裏 158目 53～210局] [0.005263 1表 3裏 161目 54～214局] [0.005214 1表 3裏 164目 55～218局] [0.005167 1表 3裏 167目 56～222局] [0.005121 1表 3裏 170目 57～226局] [0.005076 1表 3裏 173目 58～230局] [0.005032 1表 3裏 176目 59～234局] [0.004989 1表 3裏 179目 60～238局] [0.004948 1表 3裏 182目 61～242局] [0.004907 1表 3裏 185目 62～246局] [0.004867 1表 3裏 188目 63～250局] [0.004829 1表 3裏 191目 64～254局] [0.004791 1表 3裏 194目 65～258局] [0.004754 1表 3裏 197目 66～262局] [0.004718 1表 3裏 200目 67～266局] [0.004683 1表 3裏 203目 68～270局]
0.76,0.49856525266498697,-0.0014347473350130313,2000000,4,13,197,0.49856525266498697,-0.0014347473350130313,2000000,14,44,205,[0.260000 1表 1裏 1目 1～1局] [0.077600 1表 2裏 2目 1～2局] [-0.061024 1表 3裏 3目 1～3局] [0.057816 1表 3裏 5目 2～6局] [-0.029812 1表 3裏 6目 2～7局] [-0.013435 1表 3裏 9目 3～11局] [-0.002238 1表 3裏 12目 4～15局] [-0.001742 3表 10裏 91目 10～40局] [-0.001435 4表 13裏 197目 16～65局]
0.77,0.5003250085562435,0.0003250085562435,2000000,2,7,51,0.5003250085562435,0.0003250085562435,2000000,15,46,205,[0.270000 1表 1裏 1目 1～1局] [0.092900 1表 2裏 2目 1～2局] [-0.043467 1表 3裏 3目 1～3局] [-0.003955 1表 3裏 6目 2～7局] [-0.001431 2表 7裏 31目 5～20局] [0.000325 2表 7裏 51目 8～33局]
0.78,0.4994824329307584,-0.000517567069241609,2000000,2,7,203,0.4994824329307584,-0.000517567069241609,2000000,24,44,205,[0.280000 1表 1裏 1目 1～1局] [0.108400 1表 2裏 2目 1～2局] [-0.025448 1表 3裏 3目 1～3局] [0.022463 1表 3裏 6目 2～7局] [-0.011357 1表 4裏 10目 3～12局] [-0.004904 1表 4裏 17目 5～21局] [-0.000764 2表 7裏 47目 7～30局] [-0.000624 2表 7裏 125目 18～80局] [-0.000518 2表 7裏 203目 29～130局]
0.79,0.49973571453194915,-0.00026428546805085107,2000000,3,11,142,0.49973571453194915,-0.00026428546805085107,2000000,44,45,205,[0.290000 1表 1裏 1目 1～1局] [0.124100 1表 2裏 2目 1～2局] [-0.006961 1表 3裏 3目 1～3局] [-0.004165 1表 4裏 18目 5～22局] [-0.001761 1表 4裏 33目 9～41局] [-0.000264 3表 11裏 142目 13～60局]
0.8,0.5000887566406623,8.875664066232414e-05,2000000,1,4,75,0.5000887566406623,8.875664066232414e-05,2000000,1,4,75,[0.300000 1表 1裏 1目 1～1局] [0.140000 1表 2裏 2目 1～2局] [0.012000 1表 3裏 3目 1～3局] [0.003316 1表 4裏 7目 2～8局] [0.001652 1表 4裏 11目 3～13局] [0.001025 1表 4裏 15目 4～18局] [0.000714 1表 4裏 19目 5～23局] [0.000533 1表 4裏 23目 6～28局] [0.000417 1表 4裏 27目 7～33局] [0.000338 1表 4裏 31目 8～38局] [0.000281 1表 4裏 35目 9～43局] [0.000239 1表 4裏 39目 10～48局] [0.000206 1表 4裏 43目 11～53局] [0.000180 1表 4裏 47目 12～58局] [0.000159 1表 4裏 51目 13～63局] [0.000142 1表 4裏 55目 14～68局] [0.000128 1表 4裏 59目 15～73局] [0.000115 1表 4裏 63目 16～78局] [0.000105 1表 4裏 67目 17～83局] [0.000096 1表 4裏 71目 18～88局] [0.000089 1表 4裏 75目 19～93局]
0.81,0.4994823277397315,-0.0005176722602684,2000000,1,4,16,0.4994823277397315,-0.0005176722602684,2000000,14,45,205,[0.310000 1表 1裏 1目 1～1局] [0.156100 1表 2裏 2目 1～2局] [0.031441 1表 3裏 3目 1～3局] [-0.013760 1表 4裏 12目 3～14局] [-0.000518 1表 4裏 16目 4～19局]
0.82,0.5007044052787917,0.0007044052787916755,2000000,2,9,197,0.5007044052787917,0.0007044052787916755,2000000,32,44,205,[0.320000 1表 1裏 1目 1～1局] [0.172400 1表 2裏 2目 1～2局] [0.051368 1表 3裏 3目 1～3局] [-0.047878 1表 4裏 4目 1～4局] [-0.001230 1表 4裏 8目 2～9局] [0.000990 2表 9裏 115目 13～70局] [0.000704 2表 9裏 197目 22～120局]
0.83,0.5000684047916565,6.84047916564845e-05,2000000,1,5,111,0.5000684047916565,6.84047916564845e-05,2000000,1,5,111,[0.330000 1表 1裏 1目 1～1局] [0.188900 1表 2裏 2目 1～2局] [0.071787 1表 3裏 3目 1～3局] [-0.025417 1表 4裏 4目 1～4局] [0.018108 1表 5裏 13目 3～15局] [0.010316 1表 5裏 18目 4～21局] [0.004823 1表 5裏 23目 5～27局] [0.000550 1表 5裏 28目 6～33局] [0.000068 1表 5裏 111目 23～133局]
0.84,0.5017214051351881,0.0017214051351881476,2000000,2,11,144,0.5017214051351881,0.0017214051351881476,2000000,14,44,205,[0.340000 1表 1裏 1目 1～1局] [0.205600 1表 2裏 2目 1～2局] [0.092704 1表 3裏 3目 1～3局] [-0.002129 1表 4裏 4目 1～4局] [0.002122 2表 11裏 101目 10～60局] [0.001721 2表 11裏 144目 14～85局]
0.85,0.5021987408953525,0.0021987408953525467,2000000,2,11,143,0.5021987408953525,0.0021987408953525467,2000000,33,42,205,[0.350000 1表 1裏 1目 1～1局] [0.222500 1表 2裏 2目 1～2局] [0.114125 1表 3裏 3目 1～3局] [0.022006 1表 4裏 4目 1～4局] [-0.007814 1表 5裏 10目 2～11局] [0.004879 1表 6裏 21目 4～24局] [0.003246 1表 6裏 38目 7～44局] [0.002578 1表 6裏 55目 10～64局] [0.002199 2表 11裏 143目 13～84局]
0.86,0.5001901199458543,0.0001901199458542,2000000,1,6,72,0.5001901199458543,0.0001901199458542,2000000,40,42,205,[0.360000 1表 1裏 1目 1～1局] [0.239600 1表 2裏 2目 1～2局] [0.136056 1表 3裏 3目 1～3局] [0.047008 1表 4裏 4目 1～4局] [-0.029573 1表 5裏 5目 1～5局] [-0.016589 1表 6裏 11目 2～12局] [-0.008852 1表 6裏 17目 3～19局] [-0.003437 1表 6裏 23目 4～26局] [0.000754 1表 6裏 29目 5～33局] [0.000190 1表 6裏 72目 12～83局]
0.87,0.4993353078034774,-0.0006646921965225,2000000,1,7,45,0.4993353078034774,-0.0006646921965225,2000000,3,44,205,[0.370000 1表 1裏 1目 1～1局] [0.256900 1表 2裏 2目 1～2局] [0.158503 1表 3裏 3目 1～3局] [0.072898 1表 4裏 4目 1～4局] [-0.001579 1表 5裏 5目 1～5局] [-0.000665 1表 7裏 45目 7～51局]
0.88,0.4985290206980778,-0.0014709793019221928,2000000,2,15,171,0.4985290206980778,-0.0014709793019221928,2000000,26,42,205,[0.380000 1表 1裏 1目 1～1局] [0.274400 1表 2裏 2目 1～2局] [0.181472 1表 3裏 3目 1～3局] [0.099695 1表 4裏 4目 1～4局] [0.027732 1表 5裏 5目 1～5局] [0.026238 1表 6裏 12目 2～13局] [-0.014136 1表 7裏 13目 2～14局] [-0.001737 1表 7裏 20目 3～22局] [-0.001630 2表 15裏 127目 9～72局] [-0.001471 2表 15裏 171目 12～97局]
0.89,0.5001372113646005,0.0001372113646005424,2000000,1,8,119,0.5001372113646005,0.0001372113646005424,2000000,23,42,205,[0.390000 1表 1裏 1目 1～1局] [0.292100 1表 2裏 2目 1～2局] [0.204969 1表 3裏 3目 1～3局] [0.127422 1表 4裏 4目 1～4局] [0.058406 1表 5裏 5目 1～5局] [-0.003019 1表 6裏 6目 1～6局] [-0.000837 1表 8裏 22目 3～24局] [0.000137 1表 8裏 119目 15～133局]
0.9,0.5030211008718103,0.0030211008718102894,2000000,1,9,204,0.5030211008718103,0.0030211008718102894,2000000,20,33,205,[0.400000 1表 1裏 1目 1～1局] [0.310000 1表 2裏 2目 1～2局] [0.229000 1表 3裏 3目 1～3局] [0.156100 1表 4裏 4目 1～4局] [0.090490 1表 5裏 5目 1～5局] [0.031441 1表 6裏 6目 1～6局] [-0.021703 1表 7裏 7目 1～7局] [0.014728 1表 8裏 15目 2～16局] [0.010505 1表 8裏 24目 3～26局] [0.008511 1表 9裏 33目 4～36局] [0.007317 1表 9裏 42目 5～46局] [0.006507 1表 9裏 51目 6～56局] [0.005913 1表 9裏 60目 7～66局] [0.005455 1表 9裏 69目 8～76局] [0.005088 1表 9裏 78目 9～86局] [0.004785 1表 9裏 87目 10～96局] [0.004531 1表 9裏 96目 11～106局] [0.004312 1表 9裏 105目 12～116局] [0.004123 1表 9裏 114目 13～126局] [0.003956 1表 9裏 123目 14～136局] [0.003808 1表 9裏 132目 15～146局] [0.003675 1表 9裏 141目 16～156局] [0.003556 1表 9裏 150目 17～166局] [0.003447 1表 9裏 159目 18～176局] [0.003347 1表 9裏 168目 19～186局] [0.003256 1表 9裏 177目 20～196局] [0.003172 1表 9裏 186目 21～206局] [0.003094 1表 9裏 195目 22～216局] [0.003021 1表 9裏 204目 23～226局]
0.91,0.4998303688217843,-0.0001696311782157,2000000,1,10,88,0.4998303688217843,-0.0001696311782157,2000000,19,41,205,[0.410000 1表 1裏 1目 1～1局] [0.328100 1表 2裏 2目 1～2局] [0.253571 1表 3裏 3目 1～3局] [0.185750 1表 4裏 4目 1～4局] [0.124032 1表 5裏 5目 1～5局] [0.067869 1表 6裏 6目 1～6局] [0.016761 1表 7裏 7目 1～7局] [0.009125 1表 9裏 17目 2～18局] [0.008725 1表 9裏 27目 3～29局] [-0.007639 1表 10裏 48目 5～52局] [-0.005295 1表 10裏 58目 6～63局] [-0.003338 1表 10裏 68目 7～74局] [-0.001653 1表 10裏 78目 8～85局] [-0.000170 1表 10裏 88目 9～96局]
0.92,0.5001389662226435,0.00013896622264353287,2000000,1,12,169,0.5001389662226435,0.00013896622264353287,2000000,5,39,205,[0.420000 1表 1裏 1目 1～1局] [0.346400 1表 2裏 2目 1～2局] [0.278688 1表 3裏 3目 1～3局] [0.216393 1表 4裏 4目 1～4局] [0.159082 1表 5裏 5目 1～5局] [0.106355 1表 6裏 6目 1～6局] [0.057847 1表 7裏 7目 1～7局] [0.013219 1表 8裏 8目 1～8局] [-0.009397 1表 10裏 20目 2～21局] [0.001801 1表 11裏 31目 3～33局] [0.000778 1表 11裏 54目 5～58局] [0.000455 1表 11裏 77目 7～83局] [0.000307 1表 12裏 100目 9～108局] [0.000224 1表 12裏 123目 11～133局] [0.000173 1表 12裏 146目 13～158局] [0.000139 1表 12裏 169目 15～183局]
0.93,0.49940759016011954,-0.0005924098398804589,2000000,1,13,182,0.49940759016011954,-0.0005924098398804589,2000000,9,40,205,[0.430000 1表 1裏 1目 1～1局] [0.364900 1表 2裏 2目 1～2局] [0.304357 1表 3裏 3目 1～3局] [0.248052 1表 4裏 4目 1～4局] [0.195688 1表 5裏 5目 1～5局] [0.146990 1表 6裏 6目 1～6局] [0.101701 1表 7裏 7目 1～7局] [0.059582 1表 8裏 8目 1～8局] [0.020411 1表 9裏 9目 1～9局] [-0.016018 1表 10裏 10目 1～10局] [0.014587 1表 11裏 22目 2～23局] [-0.008246 1表 12裏 23目 2～24局] [-0.002454 1表 12裏 36目 3～38局] [0.001847 1表 13裏 49目 4～52局] [-0.000616 1表 13裏 89目 7～95局] [-0.000592 1表 13裏 182目 14～195局]
0.94,0.501002429957964,0.0010024299579639573,2000000,1,16,183,0.501002429957964,0.0010024299579639573,2000000,3,39,205,[0.440000 1表 1裏 1目 1～1局] [0.383600 1表 2裏 2目 1～2局] [0.330584 1表 3裏 3目 1～3局] [0.280749 1表 4裏 4目 1～4局] [0.233904 1表 5裏 5目 1～5局] [0.189870 1表 6裏 6目 1～6局] [0.148478 1表 7裏 7目 1～7局] [0.109569 1表 8裏 8目 1～8局] [0.072995 1表 9裏 9目 1～9局] [0.038615 1表 10裏 10目 1～10局] [0.006298 1表 11裏 11目 1～11局] [0.003512 1表 14裏 42目 3～44局] [-0.001760 1表 15裏 58目 4～61局] [0.001743 1表 15裏 89目 6～94局] [-0.001675 1表 15裏 105目 7～111局] [0.001243 1表 16裏 136目 9～144局] [0.001002 1表 16裏 183目 12～194局]
0.95,0.5002261498816989,0.0002261498816988894,2000000,1,19,203,0.5002261498816989,0.0002261498816988894,2000000,24,36,205,[0.450000 1表 1裏 1目 1～1局] [0.402500 1表 2裏 2目 1～2局] [0.357375 1表 3裏 3目 1～3局] [0.314506 1表 4裏 4目 1～4局] [0.273781 1表 5裏 5目 1～5局] [0.235092 1表 6裏 6目 1～6局] [0.198337 1表 7裏 7目 1～7局] [0.163420 1表 8裏 8目 1～8局] [0.130249 1表 9裏 9目 1～9局] [0.098737 1表 10裏 10目 1～10局] [0.068800 1表 11裏 11目 1～11局] [0.040360 1表 12裏 12目 1～12局] [0.013342 1表 13裏 13目 1～13局] [-0.012325 1表 14裏 14目 1～14局] [0.003650 1表 16裏 32目 2～33局] [0.001816 1表 17裏 51目 3～53局] [0.001127 1表 18裏 70目 4～73局] [0.000784 1表 18裏 89目 5～93局] [0.000586 1表 18裏 108目 6～113局] [0.000459 1表 19裏 127目 7～133局] [0.000372 1表 19裏 146目 8～153局] [0.000309 1表 19裏 165目 9～173局] [0.000262 1表 19裏 184目 10～193局] [0.000226 1表 19裏 203目 11～213局]
0.96,0.4995868076798134,-0.0004131923201865,2000000,1,17,17,0.4995868076798134,-0.0004131923201865,2000000,25,40,205,[0.460000 1表 1裏 1目 1～1局] [0.421600 1表 2裏 2目 1～2局] [0.384736 1表 3裏 3目 1～3局] [0.349347 1表 4裏 4目 1～4局] [0.315373 1表 5裏 5目 1～5局] [0.282758 1表 6裏 6目 1～6局] [0.251447 1表 7裏 7目 1～7局] [0.221390 1表 8裏 8目 1～8局] [0.192534 1表 9裏 9目 1～9局] [0.164833 1表 10裏 10目 1～10局] [0.138239 1表 11裏 11目 1～11局] [0.112710 1表 12裏 12目 1～12局] [0.088201 1表 13裏 13目 1～13局] [0.064673 1表 14裏 14目 1～14局] [0.042086 1表 15裏 15目 1～15局] [0.020403 1表 16裏 16目 1～16局] [-0.000413 1表 17裏 17目 1～17局]
