p,failure_rate,best_p,best_p_error,best_number_of_series,best_p_step,best_q_step,best_span,latest_p,latest_p_error,latest_number_of_series,latest_p_step,latest_q_step,latest_span,candidates
0.7,0.0,0.4975870724981724,-0.0024129275018275,200,3,7,298,0.5282199999999999,0.028219999999999912,200,99,239,299,[0.200000 1表 1裏 1目 1～1局 1試] [-0.010000 1表 2裏 2目 1～2局 200試] [-0.007484 2表 5裏 17目 3～12局 200試] [-0.005824 2表 5裏 31目 6～22局 200試] [-0.004922 2表 5裏 46目 9～32局 200試] [-0.004340 3表 7裏 88目 13～42局 200試] [-0.003924 3表 7裏 109目 16～52局 200試] [-0.003608 3表 7裏 130目 19～62局 200試] [-0.003358 3表 7裏 151目 22～72局 200試] [-0.003154 3表 7裏 172目 25～82局 200試] [-0.002983 3表 7裏 193目 28～92局 200試] [-0.002837 3表 7裏 214目 31～102局 200試] [-0.002710 3表 7裏 235目 34～112局 200試] [-0.002599 3表 7裏 256目 37～122局 200試] [-0.002501 3表 7裏 277目 40～132局 200試] [-0.002413 3表 7裏 298目 43～142局 200試]
0.71,0.0,0.5002041517924759,0.0002041517924759,200,2,5,47,0.4420361909949999,-0.05796380900500009,200,70,240,299,[0.210000 1表 1裏 1目 1～1局 1試] [0.004100 1表 2裏 2目 1～2局 200試] [0.000204 2表 5裏 47目 9～33局 200試]
0.72,0.0,0.5014111096795151,0.001411109679515,200,5,13,276,0.009251110409351313,-0.49074888959064866,200,15,240,299,[0.220000 1表 1裏 1目 1～1局 1試] [0.018400 1表 2裏 2目 1～2局 200試] [0.017098 1表 3裏 7目 2～9局 200試] [-0.015485 1表 3裏 10目 3～13局 200試] [-0.004819 2表 5裏 29目 6～20局 200試] [0.002571 2表 5裏 39目 8～27局 200試] [0.001753 2表 5裏 75目 15～52局 200試] [0.001411 5表 13裏 276目 21～77局 200試]
0.73,0.0,0.4997068951153219,-0.000293104884678,200,3,8,118,0.09710468371711867,-0.40289531628288133,200,25,240,299,[0.230000 1表 1裏 1目 1～1局 1試] [0.032900 1表 2裏 2目 1～2局 200試] [-0.012828 1表 3裏 5目 2～6局 200試] [-0.002259 1表 3裏 13目 4～17局 200試] [-0.000293 3表 8裏 118目 15～54局 200試]
0.74,0.0,0.5002568101263052,0.0002568101263051,200,1,3,25,0.832352,0.332352,200,237,239,299,[0.240000 1表 1裏 1目 1～1局 1試] [0.047600 1表 2裏 2目 1～2局 200試] [0.010372 1表 3裏 5目 2～6局 200試] [-0.004220 1表 3裏 8目 3～10局 200試] [0.000257 1表 3裏 25目 8～33局 200試]
0.75,0.0,0.5038542639524566,0.0038542639524565825,200,1,3,299,0.73828125,0.23828125,200,101,233,299,[0.250000 1表 1裏 1目 1～1局 1試] [0.062500 1表 2裏 2目 1～2局 200試] [0.033936 1表 3裏 5目 2～6局 200試] [0.025593 1表 3裏 8目 3～10局 200試] [0.021340 1表 3裏 11目 4～14局 200試] [0.018669 1表 3裏 14目 5～18局 200試] [0.016797 1表 3裏 17目 6～22局 200試] [0.015393 1表 3裏 20目 7～26局 200試] [0.014290 1表 3裏 23目 8～30局 200試] [0.013394 1表 3裏 26目 9～34局 200試] [0.012647 1表 3裏 29目 10～38局 200試] [0.012013 1表 3裏 32目 11～42局 200試] [0.011465 1表 3裏 35目 12～46局 200試] [0.010986 1表 3裏 38目 13～50局 200試] [0.010562 1表 3裏 41目 14～54局 200試] [0.010184 1表 3裏 44目 15～58局 200試] [0.009844 1表 3裏 47目 16～62局 200試] [0.009536 1表 3裏 50目 17～66局 200試] [0.009254 1表 3裏 53目 18～70局 200試] [0.008997 1表 3裏 56目 19～74局 200試] [0.008760 1表 3裏 59目 20～78局 200試] [0.008540 1表 3裏 62目 21～82局 200試] [0.008336 1表 3裏 65目 22～86局 200試] [0.008147 1表 3裏 68目 23～90局 200試] [0.007969 1表 3裏 71目 24～94局 200試] [0.007803 1表 3裏 74目 25～98局 200試] [0.007646 1表 3裏 77目 26～102局 200試] [0.007499 1表 3裏 80目 27～106局 200試] [0.007360 1表 3裏 83目 28～110局 200試] [0.007228 1表 3裏 86目 29～114局 200試] [0.007104 1表 3裏 89目 30～118局 200試] [0.006985 1表 3裏 92目 31～122局 200試] [0.006872 1表 3裏 95目 32～126局 200試] [0.006765 1表 3裏 98目 33～130局 200試] [0.006662 1表 3裏 101目 34～134局 200試] [0.006564 1表 3裏 104目 35～138局 200試] [0.006470 1表 3裏 107目 36～142局 200試] [0.006380 1表 3裏 110目 37～146局 200試] [0.006294 1表 3裏 113目 38～150局 200試] [0.006211 1表 3裏 116目 39～154局 200試] [0.006131 1表 3裏 119目 40～158局 200試] [0.006054 1表 3裏 122目 41～162局 200試] [0.005981 1表 3裏 125目 42～166局 200試] [0.005909 1表 3裏 128目 43～170局 200試] [0.005840 1表 3裏 131目 44～174局 200試] [0.005774 1表 3裏 134目 45～178局 200試] [0.005710 1表 3裏 137目 46～182局 200試] [0.005648 1表 3裏 140目 47～186局 200試] [0.005588 1表 3裏 143目 48～190局 200試] [0.005529 1表 3裏 146目 49～194局 200試] [0.005473 1表 3裏 149目 50～198局 200試] [0.005418 1表 3裏 152目 51～202局 200試] [0.005365 1表 3裏 155目 52～206局 200試] [0.005313 1表 3裏 158目 53～210局 200試] [0.005263 1表 3裏 161目 54～214局 200試] [0.005214 1表 3裏 164目 55～218局 200試] [0.005167 1表 3裏 167目 56～222局 200試] [0.005121 1表 3裏 170目 57～226局 200試] [0.005076 1表 3裏 173目 58～230局 200試] [0.005032 1表 3裏 176目 59～234局 200試] [0.004989 1表 3裏 179目 60～238局 200試] [0.004948 1表 3裏 182目 61～242局 200試] [0.004907 1表 3裏 185目 62～246局 200試] [0.004867 1表 3裏 188目 63～250局 200試] [0.004829 1表 3裏 191目 64～254局 200試] [0.004791 1表 3裏 194目 65～258局 200試] [0.004754 1表 3裏 197目 66～262局 200試] [0.004718 1表 3裏 200目 67～266局 200試] [0.004683 1表 3裏 203目 68～270局 200試] [0.004648 1表 3裏 206目 69～274局 200試] [0.004615 1表 3裏 209目 70～278局 200試] [0.004582 1表 3裏 212目 71～282局 200試] [0.004549 1表 3裏 215目 72～286局 200試] [0.004518 1表 3裏 218目 73～290局 200試] [0.004487 1表 3裏 221目 74～294局 200試] [0.004456 1表 3裏 224目 75～298局 200試] [0.004427 1表 3裏 227目 76～302局 200試] [0.004398 1表 3裏 230目 77～306局 200試] [0.004369 1表 3裏 233目 78～310局 200試] [0.004341 1表 3裏 236目 79～314局 200試] [0.004314 1表 3裏 239目 80～318局 200試] [0.004287 1表 3裏 242目 81～322局 200試] [0.004260 1表 3裏 245目 82～326局 200試] [0.004234 1表 3裏 248目 83～330局 200試] [0.004209 1表 3裏 251目 84～334局 200試] [0.004184 1表 3裏 254目 85～338局 200試] [0.004159 1表 3裏 257目 86～342局 200試] [0.004135 1表 3裏 260目 87～346局 200試] [0.004111 1表 3裏 263目 88～350局 200試] [0.004088 1表 3裏 266目 89～354局 200試] [0.004065 1表 3裏 269目 90～358局 200試] [0.004042 1表 3裏 272目 91～362局 200試] [0.004020 1表 3裏 275目 92～366局 200試] [0.003998 1表 3裏 278目 93～370局 200試] [0.003976 1表 3裏 281目 94～374局 200試] [0.003955 1表 3裏 284目 95～378局 200試] [0.003934 1表 3裏 287目 96～382局 200試] [0.003914 1表 3裏 290目 97～386局 200試] [0.003894 1表 3裏 293目 98～390局 200試] [0.003874 1表 3裏 296目 99～394局 200試] [0.003854 1表 3裏 299目 100～398局 200試]
0.76,0.0,0.498754772292707,-0.001245227707293,200,4,13,274,0.7550387199999999,0.25503871999999994,200,144,239,299,[0.260000 1表 1裏 1目 1～1局 1試] [0.077600 1表 2裏 2目 1～2局 200試] [-0.061024 1表 3裏 3目 1～3局 200試] [0.057816 1表 3裏 5目 2～6局 200試] [-0.029812 1表 3裏 6目 2～7局 200試] [-0.013435 1表 3裏 9目 3～11局 200試] [-0.002238 1表 3裏 12目 4～15局 200試] [-0.001742 3表 10裏 91目 9～40局 200試] [-0.001435 4表 13裏 197目 15～65局 200試] [-0.001245 4表 13裏 274目 21～90局 200試]
0.77,0.0,0.5003250085562435,0.0003250085562435,200,2,7,51,0.05773295939825073,-0.44226704060174926,200,18,240,299,[0.270000 1表 1裏 1目 1～1局 1試] [0.092900 1表 2裏 2目 1～2局 200試] [-0.043467 1表 3裏 3目 1～3局 200試] [-0.003955 1表 3裏 6目 2～7局 200試] [-0.001431 2表 7裏 31目 4～20局 200試] [0.000325 2表 7裏 51目 7～33局 200試]
0.78,0.0,0.4994824329307584,-0.0005175670692416,200,2,7,203,0.876096,0.376096,200,177,239,299,[0.280000 1表 1裏 1目 1～1局 1試] [0.108400 1表 2裏 2目 1～2局 200試] [-0.025448 1表 3裏 3目 1～3局 200試] [0.022463 1表 3裏 6目 2～7局 200試] [-0.011357 1表 4裏 10目 3～12局 200試] [-0.004904 1表 4裏 17目 4～21局 200試] [-0.000764 2表 7裏 47目 7～30局 200試] [-0.000624 2表 7裏 125目 18～80局 200試] [-0.000518 2表 7裏 203目 29～130局 200試]
0.79,0.0,0.4997357145319491,-0.0002642854680508,200,3,11,142,1.4320133098623277e-14,-0.4999999999999857,200,2,240,299,[0.290000 1表 1裏 1目 1～1局 1試] [0.124100 1表 2裏 2目 1～2局 200試] [-0.006961 1表 3裏 3目 1～3局 200試] [-0.004165 1表 4裏 18目 5～22局 200試] [-0.001761 1表 4裏 33目 8～41局 200試] [-0.000264 3表 11裏 142目 13～60局 200試]
