turn_system_name,failure_rate,p,span,t_step,h_step,a_victory_rate_by_trio,b_victory_rate_by_trio,no_victory_rate,a_victory_rate_by_duet,b_victory_rate_by_duet,unfair_point
alternating,0.0,0.71,3,3,1,0.4901171250999999,0.5098828749,0.0,0.4901171250999999,0.5098828749,0.0001953424325781
alternating,0.0,0.72,3,3,1,0.4996012031999999,0.5003987968,0.0,0.4996012031999999,0.5003987968,3.180777753805522e-07
alternating,0.0,0.73,3,3,1,0.5094417492999999,0.4905582506999998,0.0,0.5094417492999999,0.4905582506999998,0.0001782932596881
alternating,0.0,0.74,5,4,1,0.5036101517089415,0.4963898482910579,0.0,0.5036101517089415,0.4963898482910579,2.60663907231508e-05
alternating,0.0,0.75,10,9,2,0.5076255798339843,0.4923744201660156,0.0,0.5076255798339843,0.4923744201660156,0.0001162989356089
alternating,0.0,0.76,7,7,2,0.49505879474176,0.50494120525824,0.0,0.49505879474176,0.50494120525824,4.883101880811758e-05
alternating,0.0,0.77,11,9,2,0.5003035584869846,0.4996964415130146,0.0,0.5003035584869846,0.4996964415130146,1.84295510041232e-07
alternating,0.0,0.78,11,10,2,0.5044457416613711,0.4955542583386283,0.0,0.5044457416613711,0.4955542583386283,3.952923783930677e-05
alternating,0.0,0.79,6,5,1,0.5091917994590357,0.4908082005409639,0.0,0.5091917994590357,0.4908082005409639,0.0001689783545902
alternating,0.0,0.8,7,5,1,0.5315980361727993,0.4684019638271993,0.0,0.5315980361727993,0.4684019638271993,0.0019968717799551
alternating,0.0,0.81,13,11,2,0.5056690460236108,0.4943309539763884,0.0,0.5056690460236108,0.4943309539763884,6.42761656356447e-05
alternating,0.0,0.82,7,7,1,0.4846940911187632,0.5153059088812363,0.0,0.4846940911187632,0.5153059088812363,0.0004685416933614
alternating,0.0,0.83,7,6,1,0.5177774515470837,0.4822225484529157,0.0,0.5177774515470837,0.4822225484529157,0.0006320755670178
alternating,0.0,0.84,8,6,1,0.5359845486177762,0.4640154513822231,0.0,0.5359845486177762,0.4640154513822231,0.0025897754784502
alternating,0.0,0.85,7,7,1,0.515010632178856,0.4849893678211433,0.0,0.515010632178856,0.4849893678211433,0.0004506381568178
alternating,0.0,0.86,9,6,1,0.5543519806135274,0.4456480193864721,0.0,0.5543519806135274,0.4456480193864721,0.0059082755932265
alternating,0.0,0.87,8,6,1,0.5564810541034851,0.4435189458965145,0.0,0.5564810541034851,0.4435189458965145,0.0063802189452816
alternating,0.0,0.88,8,6,1,0.5665034456213289,0.4334965543786704,0.0,0.5665034456213289,0.4334965543786704,0.0088454165590181
alternating,0.0,0.89,9,6,1,0.5768265743292919,0.4231734256707044,0.0,0.5768265743292919,0.4231734256707044,0.0118046450463489
alternating,0.0,0.9,9,8,1,0.5616813869984203,0.4383186130015791,0.0,0.5616813869984203,0.4383186130015791,0.0076091870040978
alternating,0.0,0.91,15,10,2,0.6227545475634316,0.3772454524365641,0.0,0.6227545475634316,0.3772454524365641,0.0301373578950066
alternating,0.0,0.92,9,5,1,0.631276877246452,0.368723122753541,0.0,0.631276877246452,0.368723122753541,0.0344672369991618
alternating,0.0,0.93,8,7,1,0.6486667418176167,0.3513332581823821,0.0,0.6486667418176167,0.3513332581823821,0.0442036002453321
alternating,0.0,0.94,15,5,2,0.7074315124717488,0.2925684875282464,0.0,0.7074315124717488,0.2925684875282464,0.0860556647326365
alternating,0.0,0.95,8,6,1,0.7193217211034689,0.2806782788965302,0.0,0.7193217211034689,0.2806782788965302,0.096204034695576
alternating,0.05,0.5,1,1,1,0.49875,0.49875,0.0025,0.5,0.5,0.0
alternating,0.05,0.51,3,1,1,0.4970082547012404,0.4914935944556615,0.0114981508430875,0.5027894031003947,0.4972105968995945,1.556153931304277e-05
alternating,0.05,0.52,12,5,4,0.5020664921865906,0.4910283241294376,0.0069051836839568,0.5055574593058922,0.4944425406940925,6.177070787346563e-05
alternating,0.05,0.53,7,3,2,0.499058589630799,0.5002206936334103,0.0007207167357819,0.4994185289227532,0.5005814710772379,6.762172273387614e-07
alternating,0.05,0.54,10,4,3,0.5010618981750549,0.4981399067204438,0.000798195104488,0.5014621628185025,0.4985378371814841,4.275840215661663e-06
alternating,0.05,0.55,6,3,2,0.4889153352413964,0.5048916093479491,0.0061930554106438,0.4919620836855971,0.5080379163143921,0.0001292161973545
alternating,0.05,0.56,8,4,3,0.4932442148198221,0.5004771153933703,0.0062786697867993,0.4963606997486887,0.5036393002513029,2.6489012638327413e-05
